accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_002050035.1,bac120,Bacteria,4484-113,4484-113,4484-113,4484-113,4484-113,4484-113 sp002050035
GB_GCA_016932385.1,bac120,Bacteria,4484-113,4484-113,4484-113,JAFGCY01,JAFGCY01,JAFGCY01 sp016932385
GB_GCA_002084765.1,bac120,Bacteria,4572-55,4572-55,4572-55,4572-55,4572-55,4572-55 sp002084765
GB_GCA_003697105.1,bac120,Bacteria,4572-55,4572-55,J002,J002,J002,J002 sp003697105
GB_GCA_018812585.1,bac120,Bacteria,AABM5-125-24,B3-LCP,B3-LCP,B3-LCP,JAHJDJ01,JAHJDJ01 sp018812585
GB_GCA_013360195.1,bac120,Bacteria,AABM5-125-24,RPQS01,RPQS01,RPQS01,JABWCQ01,JABWCQ01 sp013360195
GB_GCA_002686915.1,bac120,Bacteria,ARS69,ARS69,ARS69,ARS69,ARS69,ARS69 sp002686915
GB_GCA_003598055.1,bac120,Bacteria,Abyssubacteria,SURF-5,SURF-5,SURF-5,SURF-17,SURF-17 sp003598055
GB_GCA_003598085.1,bac120,Bacteria,Abyssubacteria,SURF-5,SURF-5,SURF-5,SURF-5,SURF-5 sp003598085
GB_GCA_018335295.1,bac120,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Aminicenantaceae,JAGXKI01,JAGXKI01 sp018335295
GB_GCA_013140955.1,bac120,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,JABFRY01,JABFRY01 sp013140955
GB_GCA_003135055.1,bac120,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,PALSA-243,PALSA-243 sp003135055
GB_GCA_002479805.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,Aquiluna sp002479805
GB_GCA_017306015.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionicimonas,Propionicimonas sp017306015
GB_GCA_014649295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces libani_A
RS_GCF_001612615.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia amikacinitolerans
GB_GCA_013811975.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,JACCQS01,JACCQS01 sp013811975
GB_GCA_003162055.1,bac120,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Fen-549,Fen-549 sp003162055
RS_GCF_001542625.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseochromogenes
RS_GCF_002929705.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Specibacter,Specibacter sp002929705
GB_GCA_002715405.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002715405
GB_GCA_902615855.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp902615855
RS_GCF_014645315.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Citricoccus,Citricoccus zhacaiensis
GB_GCA_902599555.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp902599555
GB_GCA_017853815.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,UBA5976,JAFMIT01,JAFMIT01 sp017853815
RS_GCF_001421565.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces sp001421565
RS_GCF_002224125.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002224125
RS_GCF_900098745.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces glycerinitolerans
RS_GCF_016786325.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Frankiaceae,Frankia,Frankia sp016786325
RS_GCF_900129375.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Streptoalloteichus,Streptoalloteichus hindustanus
GB_GCA_011331305.1,bac120,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,PHET01,DSSC01,DSSC01 sp011331305
GB_GCA_014360585.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp014360585
RS_GCF_001005295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces yangpuensis
RS_GCF_003194625.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides solisilvae
GB_GCA_009699205.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,QYPT01,QYPT01 sp009699205
RS_GCF_014656295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sulfonofaciens
RS_GCF_006716785.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Thermopolyspora,Thermopolyspora flexuosa
RS_GCF_000224415.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Citricoccus,Citricoccus sp000224415
GB_GCA_005788585.1,bac120,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,SYBY01,SYBY01 sp005788585
GB_GCA_009703925.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,F1-20-MAGs160 sp009703925
GB_GCA_018970025.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,REEB460,REEB460 sp018970025
GB_GCA_016213555.1,ar53,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JACRAC01,JACRAC01 sp016213555
GB_GCA_016932215.1,ar53,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAFGDH01,JAFGDH01 sp016932215
GB_GCA_011372105.1,bac120,Bacteria,Aerophobota,Aerophobia,Aerophobales,B3-G15,DRTT01,DRTT01 sp011372105
GB_GCA_000402295.1,bac120,Bacteria,Aerophobota,Aerophobia,Aerophobales,Aerophobaceae,Aerophobus,Aerophobus profundus
GB_GCA_016867655.1,ar53,Archaea,Altiarchaeota,Altiarchaeia,IMC4,SCGC-AAA252-I15,VGJA01,VGJA01 sp016867655
GB_GCA_015523055.1,ar53,Archaea,Altiarchaeota,Altiarchaeia,IMC4,QMZM01,WALD01,WALD01 sp015523055
RS_GCF_000185805.1,bac120,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,Thermovibrio ammonificans
GB_GCA_015487615.1,bac120,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,WFWF01,WFWF01 sp015487615
GB_GCA_903915615.1,bac120,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIRTT01,CAIRTT01 sp903915615
GB_GCA_019239955.1,bac120,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Capsulimonadaceae,JAFAZD01,JAFAZD01 sp019239955
GB_GCA_016840385.1,ar53,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,MP8T-1,MP8T-1 sp016840385
GB_GCA_008080745.1,ar53,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SHMX01,SHMX01 sp008080745
GB_GCA_018054125.1,bac120,Bacteria,Atribacterota,JS1,SB-45,UBA6794,UBA6794,UBA6794 sp018054125
GB_GCA_018894595.1,bac120,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp018894595
GB_GCA_018435605.1,bac120,Bacteria,Aureabacteria,SURF-26,SURF-26,SURF-26,R3-B46,R3-B46 sp018435605
GB_GCA_003599815.1,bac120,Bacteria,Aureabacteria,SURF-26,SURF-26,SURF-26,SURF-26,SURF-26 sp003599815
GB_GCA_003647755.1,bac120,Bacteria,B130-G9,B130-G9,B130-G9,B130-G9,B130-G9,B130-G9 sp003647755
GB_GCA_016929465.1,bac120,Bacteria,B130-G9,B130-G9,B130-G9,B130-G9,JAFGIT01,JAFGIT01 sp016929465
GB_GCA_018304505.1,ar53,Archaea,B1Sed10-29,B1Sed10-29,B1Sed10-29,JAGVWA01,JAGVWA01,JAGVWA01 sp018304505
GB_GCA_015522495.1,ar53,Archaea,B1Sed10-29,B1Sed10-29,WALL01,WAMD01,WAMD01,WAMD01 sp015522495
GB_GCA_013151915.1,bac120,Bacteria,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14,BMS3ABIN14 sp013151915
GB_GCA_002897695.1,bac120,Bacteria,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14,BMS3ABIN14 sp002897695
GB_GCA_016783505.1,bac120,Bacteria,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25 sp016783505
GB_GCA_016783345.1,bac120,Bacteria,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34 sp016783345
GB_GCA_016931385.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,SKHV01,SKHV01 sp016931385
GB_GCA_009777175.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,WRMI01,WRMI01 sp009777175
GB_GCA_905479535.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp905479535
