protein_id,structural_novelty
JACQWU010000096.1_7,0.31609243
QMNL01000346.1_4,0.27392492
JAFRZH010000025.1_13,0.26585913
JAFTSJ010000011.1_9,0.2962538
WJKZ01000277.1_8,0.24940996
JACRLM010000099.1_1,0.2958672
DRXH01000136.1_1,0.345882
DSSB01000384.1_1,0.38104483
SXND01000277.1_1,0.25818086
JAEOSL010000193.1_1,0.3216203
LDXN01000063.1_14,0.3249352
JABIXH010000073.1_1,0.37234014
PUNC01000230.1_7,0.268084
DLYX01000551.1_5,0.29944327
CAJOEW010000006.1_36,0.3132262
JAAYKP010000040.1_1,0.3415579
NZ_FKIP01000410.1_1,0.30249524
QNEG01000295.1_1,0.28137246
VXWP01000065.1_1,0.30318895
JAAYXC010000285.1_4,0.3152811
VMTI01000217.1_6,0.31614667
DRUE01000081.1_5,0.275786
JAGOEH010000251.1_7,0.32272035
JACRMA010000118.1_36,0.34657028
JAGWYZ010000178.1_10,0.28365636
JAFGBE010000118.1_1,0.25609437
PUNC01000068.1_1,0.31137252
USJX01000148.1_6,0.33125857
WTCB01000125.1_1,0.31914654
URWG01000187.1_4,0.2534886
JACOWJ010000026.1_1,0.3937473
JAAYVF010000033.1_11,0.27294788
JACRJN010000021.1_19,0.3270165
JAAYVF010000032.1_8,0.27294788
DLYX01000282.1_1,0.26248786
JACNFQ010000049.1_1,0.30938208
SXND01000163.1_2,0.28931293
JABWBZ010000362.1_1,0.2959778
DRTT01000065.1_1,0.33593503
SBHG01000200.1_1,0.30530056
JAAYVF010000055.1_13,0.27294794
JAAYRV010000260.1_1,0.34372818
JACIXG010000157.1_4,0.35386756
JAAYVF010000114.1_16,0.27294788
SKQU01000211.1_6,0.305515
DDYN01000006.1_15,0.29114157
PUNC01000080.1_3,0.24494907
WFTM01000183.1_1,0.2598136
JAFGBW010000228.1_8,0.31638774
CAADSM010000137.1_1,0.2883258
NZ_KB908376.1_1,0.26768675
CACYFZ010000039.1_1,0.3600971
JAAYKP010000058.1_1,0.30111405
JADQBH010000145.1_5,0.31158647
WAQR01000202.1_1,0.32386562
JAADFP010000021.1_1,0.29335752
WFTM01000221.1_12,0.3043514
NZ_JADWYU010000305.1_1,0.22742371
JAGXKI010000037.1_1,0.29751617
WBXH01000104.1_4,0.32856888
JAGPKD010000144.1_4,0.2673826
JACMRP010000192.1_1,0.31964675
JACRLM010000074.1_83,0.3576253
NZ_PVNS01000026.1_2,0.31814498
SFNH01000032.1_1,0.2615852
DLPB01000024.1_62,0.29762012
JAFRXC010000048.1_1,0.26711974
PDQT01000069.1_12,0.29021096
NZ_FKIP01000134.1_11,0.31122467
WFRF01000063.1_3,0.30738133
JAFGIT010000332.1_4,0.28110504
CAISUK010000344.1_8,0.33403143
SYBY01000141.1_9,0.29782233
MVCZ01000208.1_8,0.30381516
JAFYIM010000202.1_1,0.2841316
MVZB01000334.1_1,0.2764727
JAGVWD010000004.1_17,0.34981397
WVXK01000038.1_2,0.36214048
JAFGEV010000241.1_1,0.31310415
JAFGEW010000092.1_1,0.3240777
JAHIZU010000137.1_4,0.257825
CAILUR010000262.1_1,0.35256624
MWBZ01000120.1_7,0.3605115
DUMJ01000011.1_1,0.28617162
JABWCD010000025.1_62,0.34403223
SBHG01000202.1_1,0.30528036
JAFGBW010000205.1_1,0.28671104
JACNFQ010000025.1_1,0.2975876
NBMB01000030.1_18,0.26556832
JAGOEH010000086.1_1,0.29853916
NZ_LT985339.1_1,0.28183332
DREG01000468.1_4,0.29757053
SXND01000109.1_1,0.28187224
JACPSX010000176.1_1,0.32957304
NZUQ01000131.1_1,0.3086945
JAFGTL010000519.1_1,0.31163248
CAIWTR010000748.1_5,0.23062325
NZ_AGJL01000077.1_5,0.33612037
NZ_FRCD01000003.1_319,0.27431434
PLYD01000256.1_4,0.32342172
JAAZOE010000391.1_11,0.2691473
DREG01000120.1_5,0.31371778
RFIY01000371.1_1,0.29328257
