protein_id,composition_novelty
CP002988.1_390,5.450786851000842
CP002988.1_405,4.080064703673302
CP002988.1_491,10.142881682417958
CP002988.1_681,4.267237615860785
CP002988.1_742,4.657564124665947
CP002988.1_830,4.956278085789663
CP002988.1_1138,6.577715719135226
CP002988.1_1221,4.586306969684588
CP002988.1_1369,4.6783659004826665
CP002988.1_1393,7.6456242259421225
CP002988.1_2289,7.541054654880403
CP002988.1_2662,5.081152705460519
CP002988.1_2806,4.292024737415839
CP002988.1_2902,4.855475396348987
CP002988.1_3010,7.388713571346252
CP002989.1_246,5.440777157028268
CP002989.1_297,4.851831351349186
CP002989.1_300,4.8706755909753
CP002989.1_518,5.337489758850595
KI543199.1_98,6.324376113063352
KI543200.1_1,4.50090691075731
KI543203.1_44,5.48401133857529
KI543208.1_4,5.451030835640597
KI543216.1_179,6.961563530449756
KI543219.1_68,6.117284858505429
KI543219.1_152,7.874695745779079
JWIH01000011.1_96,4.659890290059542
JWIH01000012.1_128,5.153673134156712
JWIH01000020.1_61,4.434277578344007
JWIH01000020.1_419,3.263331375485502
JWIH01000021.1_67,5.000028526199191
JWIH01000024.1_104,3.5255541612577335
JWIH01000025.1_277,2.923247629428826
JWIH01000025.1_418,5.560932859272982
LQMQ01000002.1_36,7.117229465436128
LQMQ01000005.1_32,4.750504089590112
LQMQ01000007.1_22,4.943691661381501
LQMQ01000014.1_16,3.9933162631376096
LQMQ01000021.1_4,3.3543961123422106
LQMQ01000048.1_8,5.692987244893861
LQMQ01000059.1_1,7.161135192589622
LKMX01000003.1_3,5.534749141484828
LMZT01000011.1_33,4.122657240071701
LMZT01000027.1_12,3.9750533858813175
LMZT01000037.1_54,3.7700773867243615
LMZT01000130.1_45,4.951715342687843
LMZT01000130.1_46,4.536176166005696
LMZT01000142.1_33,4.285978206531031
LMZT01000169.1_10,3.8877652181601468
MGPE01000002.1_76,5.589496399248545
MGPE01000002.1_107,7.0927386599649145
MGPE01000003.1_14,3.135026912354881
MGPE01000005.1_182,5.308686673669608
MGPE01000005.1_240,2.5903421894235343
MGPE01000005.1_249,2.7214170632322925
MGPE01000005.1_281,3.454185126055238
MGPE01000015.1_63,2.802302150823236
MNUO01000065.1_9,5.421768136241393
MNUO01000132.1_15,4.841778400776822
MNUO01000016.1_5,3.9887744449495424
MNUO01000064.1_7,7.285295171290875
MNUO01000045.1_5,3.7046964252470245
MNUO01000110.1_6,3.568567535022663
MNUP01000052.1_13,3.388121055630909
MNUP01000041.1_10,3.843811424027827
MNUP01000020.1_2,5.569556606281874
MNUP01000146.1_2,6.143137833489017
MNUP01000084.1_11,3.428745237731766
MNUP01000087.1_20,3.873070901219107
MNUP01000059.1_1,3.416216470254115
MNUP01000059.1_2,3.6384138059068483
MNUP01000008.1_4,7.514697378838018
MNYV01000029.1_13,4.901929964894009
MNYV01000061.1_1,3.4132443161775803
MNYV01000182.1_5,3.9382087192295963
MNYV01000135.1_6,7.269160101135784
MNYV01000023.1_28,5.200340251857429
MNYV01000183.1_1,5.3083103673919
MNYV01000060.1_13,5.212258090181938
MNYV01000076.1_1,3.414119487503079
MNYW01000092.1_35,4.2331622457153255
MNYW01000165.1_2,6.643741333860226
MNYW01000058.1_17,3.3306141705577668
MNYW01000166.1_13,3.638562033572251
MNYW01000166.1_14,3.888899438234889
MNYI01000232.1_3,4.464210804668918
MNYI01000130.1_1,3.702498488944805
MNYI01000174.1_23,4.507860477870026
MNYI01000220.1_4,5.0599613740135325
MNYI01000047.1_8,3.9866436684530875
DCAZ01000067.1_12,5.912327830036085
DCAZ01000057.1_5,3.372870011770132
DCAZ01000115.1_16,5.173163941550173
DCAZ01000131.1_6,2.9548226347552173
DCAZ01000041.1_25,3.1139794704284336
DFGE01000032.1_6,5.672699133636895
DFGE01000015.1_28,5.750088413042601
DFGE01000015.1_108,3.492805829160633
DFGE01000015.1_139,4.456983879526936
DFGE01000022.1_79,8.532807316193898
DFGE01000037.1_31,5.645306035141155
DFGE01000019.1_16,5.335524010810384
DFGE01000007.1_5,3.509336132045165
DFGE01000010.1_11,2.3322714333537298
DFGE01000018.1_30,5.683970858187675
DGKK01000031.1_38,4.689681117460985
DGKK01000058.1_6,5.9404810730445785
DGKK01000006.1_8,2.90354040803167
DGKK01000048.1_3,3.699965054570432
DHZH01000001.1_228,3.4245194840087048
DHZH01000003.1_130,6.01506704460585
DHZH01000006.1_61,7.666353752958064
DHZH01000002.1_21,7.162711004215538
DAPM01000018.1_39,4.438318372497119
DAPM01000018.1_76,4.852603931976469
NZUQ01000006.1_1,8.600387742494428
NZUQ01000026.1_15,3.6816650343726027
NZUQ01000055.1_17,9.400891067045626
NZUQ01000083.1_5,8.112770233324197
NZUQ01000092.1_23,5.121349314263035
NZUQ01000105.1_4,8.019950714008415
NZUQ01000108.1_2,17.953084724521155
NZUQ01000123.1_3,8.180086816877171
NZUQ01000130.1_23,4.125348045134123
NZUQ01000135.1_6,5.284914227787101
PAYP01000004.1_22,4.19339129905534
PAYP01000007.1_25,4.765400948549581
PAYP01000016.1_5,6.476227871431571
PAYP01000020.1_5,4.703723762136373
PAYP01000029.1_95,5.593725095397897
PAYP01000034.1_25,5.906592722854337
PAYP01000060.1_4,3.15193777724419
PAYP01000078.1_11,4.460204583240871
PAYP01000094.1_15,3.7866972772464798
PAYP01000105.1_11,4.932870444682632
PFSX01000046.1_31,4.623003712908892
PFSX01000043.1_2,2.353191400568735
PXPD01000007.1_5,5.8655847867019535
PXPD01000016.1_3,3.1895674642746425
PXPD01000029.1_16,6.161169362372765
PXPD01000036.1_10,3.7519702393663654
PXPD01000046.1_1,3.5194752273070216
PMNA01000009.1_27,8.256000535302315
PMNA01000026.1_170,3.7310116845290433
PMNA01000023.1_23,4.150985145637248
PMNA01000022.1_18,3.8065542867430295
PMNA01000030.1_32,6.634554587667056
PMNA01000030.1_95,4.635246456407073
PMWA01000025.1_1,3.8390060804980344
PMWA01000092.1_36,5.19207966870597
QMTU01000006.1_15,4.526429833853988
QMTU01000046.1_1,4.623236159368983
QNVD01000010.1_19,6.7193539362699815
QNVD01000112.1_4,4.070212872331177
QNVD01000273.1_3,5.731063261511931
QNVD01000274.1_9,5.368416371674722
QNVD01000301.1_6,3.894375030432218
QNVD01000037.1_6,4.538958656918052
QNVD01000064.1_1,3.7935720254870695
SHMX01000001.1_4,4.408881943522128
SHMX01000001.1_309,5.337772948763974
SHMX01000002.1_158,5.56360320208325
SHMX01000002.1_467,3.553075731905442
SHMX01000003.1_6,3.7789852833085487
SHMX01000003.1_38,12.024614997045996
SHMX01000003.1_352,6.078452248458121
SHMX01000003.1_472,4.019914316314065
SHMX01000004.1_47,5.522485396376523
SHMX01000004.1_327,6.856069501158333
SHMX01000009.1_34,5.02533137514863
WLOP01000001.1_151,3.2469318228728064
WLOP01000005.1_127,5.3893525586598905
WLOP01000005.1_146,7.819712324331363
WLOP01000008.1_40,4.7887662646009534
DRXH01000053.1_5,6.009986331172897
DRXH01000186.1_2,4.755755456704249
DRXH01000146.1_4,3.1101845988386883
DRXH01000073.1_2,5.7290912055938
DRXT01000026.1_16,4.736283358455263
DRXT01000027.1_4,5.6493667652609485
WTCB01000078.1_8,4.6078084746332015
WTCB01000078.1_11,5.328068291547286
WTCB01000078.1_21,4.493238635871888
WTCB01000105.1_7,4.053187523299055
WTCB01000083.1_7,3.2177509624122087
WTCB01000008.1_5,6.972037842123084
WTCB01000080.1_4,4.416561029252073
WTCB01000125.1_11,3.3849448308677195
WTCB01000052.1_2,6.065331128122255
WSZW01000108.1_1,6.328487440465136
WSZW01000155.1_5,5.351025080132288
WSZW01000013.1_5,4.30392881942274
WSZW01000093.1_4,5.719161583323059
JACCLG010000012.1_50,4.950774649033422
JACCLG010000050.1_63,3.4818001595973045
DVAE01000026.1_29,5.863420754303615
DVAE01000003.1_2,4.5064066270228205
DVAE01000035.1_9,10.4820534244208
DVAE01000001.1_39,4.625049322825665
JAATVM010000059.1_11,3.471090038731983
JAATVM010000099.1_1,5.756537615041444
JAATVM010000010.1_6,4.7063634585522065
JAATVM010000107.1_10,4.089293117450986
JAATVM010000116.1_1,4.0958278440908655
JAATVM010000153.1_4,8.565397078860457
JAATVM010000153.1_11,7.923027288317335
JAATVM010000161.1_4,8.748005571053868
JAATVM010000174.1_5,4.654335715941829
JAATVM010000020.1_1,2.812955634301294
JAATVM010000213.1_11,3.5432901822045335
JAATVM010000031.1_2,5.022679099229738
WFTM01000033.1_6,4.977319578808868
WFTM01000045.1_8,10.187743982479114
WFTM01000124.1_3,2.3182686049075145
WFTM01000193.1_5,5.522861109225704
WFTM01000226.1_7,3.675645888419996
WFTM01000226.1_17,3.6457762328255288
WFTM01000281.1_7,3.836122528109043
WFTM01000303.1_2,2.792445430860513
WFTM01000370.1_3,4.505701305867838
WFTM01000393.1_2,4.146513331810524
WFTM01000479.1_12,2.6617253058178214
WAQS01000026.1_8,4.7027600243707335
WAQS01000040.1_5,5.107954009312277
WAQS01000176.1_1,4.42611784598653
WAQS01000183.1_5,5.103791964138397
WAQS01000183.1_7,6.495957099662762
WAQS01000187.1_1,10.116138807342184
WAQS01000192.1_4,7.006884454307675
WAQS01000211.1_2,3.9260410508646655
WAQS01000218.1_5,3.4263705352050504
WAQS01000229.1_3,4.010562312577932
WAQS01000295.1_9,6.2528018397954455
WAQR01000146.1_4,3.8905856341471594
WAQR01000170.1_10,3.9630917835249013
WAQR01000177.1_5,3.9125000057120314
WAQR01000192.1_1,5.319715293290526
WAQR01000228.1_4,4.120260247445187
WAQR01000248.1_1,4.431080347474569
WAMD01000032.1_5,3.594990811920799
WAMD01000032.1_16,3.243428079182083
WALD01000065.1_2,3.879346855119579
WALD01000094.1_5,3.568948225863142
WALD01000101.1_14,4.139796291845707
JACRAC010000043.1_5,4.212000130048566
JACRAC010000060.1_7,3.878765767234791
JAEEJP010000118.1_3,5.550458911613349
JAEEJP010000023.1_22,6.3385951891044074
JAEEJP010000005.1_1,4.20817864029139
JAEEJP010000033.1_1,3.8053250308520745
JAEEJP010000034.1_27,7.055951763238899
JAEEJP010000036.1_4,5.486276074720967
JAEEJP010000084.1_13,5.178146873528724
JAEEJP010000095.1_6,4.377523971506116
JAEOSL010000164.1_5,6.203346870335609
JAEOSL010000001.1_100,4.447976080901204
JAEOSL010000087.1_14,3.7992433657974027
JAEOSL010000013.1_31,3.7127503683349943
JAEOSL010000016.1_1,6.497126590332175
JAEOSL010000016.1_5,6.67015555733847
JAEOSL010000108.1_12,5.535505684610079
JAEOSL010000133.1_9,2.9843053376013855
JAEOSL010000135.1_5,5.46759711409167
JAEOSL010000138.1_1,4.61707731002439
JAEOSL010000036.1_5,5.053623260917215
JAEOSL010000038.1_1,7.940165436035232
JAEOSL010000053.1_20,2.4693970566538703
JAEOSL010000008.1_30,3.046436524087118
JAEOSL010000150.1_1,3.2400378026795655
JAEOSL010000152.1_1,7.823949429227917
VGJA01000006.1_16,3.5279812817041747
VGJA01000019.1_7,5.705456591661923
VGJA01000068.1_1,4.503818262992898
VGJA01000102.1_5,4.9020371527247875
VGJA01000133.1_1,6.023041414886218
JAFGDH010000015.1_6,3.8615229731544485
JAFGDH010000021.1_32,4.427302214835893
JAFGDH010000031.1_52,7.7462800719157086
JAFUHT010000026.1_8,6.897395801746462
JAFUHT010000026.1_9,3.617845154510517
JAFUHT010000040.1_27,4.691818370576839
JAFUHT010000071.1_13,4.786104315300031
JAFZBN010000019.1_29,5.621851838656609
JAFZBN010000021.1_14,5.193139292567306
JAFZBN010000005.1_104,2.8922265732687
JAFZBN010000001.1_3,4.06898102545309
JAFZBN010000011.1_52,6.574677473003565
JAFZBN010000015.1_189,4.461739675126427
JAFZBN010000016.1_90,4.38087253951028
JAFZBN010000018.1_53,4.787395633283405
JAFZBN010000018.1_147,3.9219904850109018
JAFCFP010000006.1_14,6.038589875947889
