genome_accession,protein_id,category,emb_row,role,is_positive,phylum,length_aa,pfam_family
GB_GCA_000224475.1,CP002988.1_390,positive,0,query,True,Halobacteriota,207,
GB_GCA_000224475.1,CP002988.1_405,positive,1,query,True,Halobacteriota,195,
GB_GCA_000224475.1,CP002988.1_491,positive,2,query,True,Halobacteriota,57,
GB_GCA_000224475.1,CP002988.1_681,positive,3,query,True,Halobacteriota,333,
GB_GCA_000224475.1,CP002988.1_742,positive,4,query,True,Halobacteriota,426,
GB_GCA_000224475.1,CP002988.1_830,positive,5,query,True,Halobacteriota,234,
GB_GCA_000224475.1,CP002988.1_1138,positive,6,query,True,Halobacteriota,302,
GB_GCA_000224475.1,CP002988.1_1221,positive,7,query,True,Halobacteriota,244,
GB_GCA_000224475.1,CP002988.1_1369,positive,8,query,True,Halobacteriota,125,
GB_GCA_000224475.1,CP002988.1_1393,positive,9,query,True,Halobacteriota,105,
GB_GCA_000224475.1,CP002988.1_2289,positive,10,query,True,Halobacteriota,97,
GB_GCA_000224475.1,CP002988.1_2662,positive,11,query,True,Halobacteriota,203,
GB_GCA_000224475.1,CP002988.1_2806,positive,12,query,True,Halobacteriota,222,
GB_GCA_000224475.1,CP002988.1_2902,positive,13,query,True,Halobacteriota,143,
GB_GCA_000224475.1,CP002988.1_3010,positive,14,query,True,Halobacteriota,137,
GB_GCA_000224475.1,CP002989.1_246,positive,15,query,True,Halobacteriota,418,
GB_GCA_000224475.1,CP002989.1_297,positive,16,query,True,Halobacteriota,209,
GB_GCA_000224475.1,CP002989.1_300,positive,17,query,True,Halobacteriota,447,
GB_GCA_000224475.1,CP002989.1_518,positive,18,query,True,Halobacteriota,419,
GB_GCA_000496215.1,KI543199.1_98,positive,19,query,True,Halobacteriota,302,
GB_GCA_000496215.1,KI543200.1_1,positive,20,query,True,Halobacteriota,300,
GB_GCA_000496215.1,KI543203.1_44,positive,21,query,True,Halobacteriota,203,
GB_GCA_000496215.1,KI543208.1_4,positive,22,query,True,Halobacteriota,401,
GB_GCA_000496215.1,KI543216.1_179,positive,23,query,True,Halobacteriota,61,
GB_GCA_000496215.1,KI543219.1_68,positive,24,query,True,Halobacteriota,125,
GB_GCA_000496215.1,KI543219.1_152,positive,25,query,True,Halobacteriota,41,
GB_GCA_000814665.1,JWIH01000011.1_96,positive,26,query,True,Proteobacteria,108,
GB_GCA_000814665.1,JWIH01000012.1_128,positive,27,query,True,Proteobacteria,197,
GB_GCA_000814665.1,JWIH01000020.1_61,positive,28,query,True,Proteobacteria,105,
GB_GCA_000814665.1,JWIH01000020.1_419,positive,29,query,True,Proteobacteria,182,
GB_GCA_000814665.1,JWIH01000021.1_67,positive,30,query,True,Proteobacteria,183,
GB_GCA_000814665.1,JWIH01000024.1_104,positive,31,query,True,Proteobacteria,298,
GB_GCA_000814665.1,JWIH01000025.1_277,positive,32,query,True,Proteobacteria,304,
GB_GCA_000814665.1,JWIH01000025.1_418,positive,33,query,True,Proteobacteria,163,
GB_GCA_001515205.2,LQMQ01000002.1_36,positive,34,query,True,Hadarchaeota,59,
GB_GCA_001515205.2,LQMQ01000005.1_32,positive,35,query,True,Hadarchaeota,109,
GB_GCA_001515205.2,LQMQ01000007.1_22,positive,36,query,True,Hadarchaeota,154,
GB_GCA_001515205.2,LQMQ01000014.1_16,positive,37,query,True,Hadarchaeota,184,
GB_GCA_001515205.2,LQMQ01000021.1_4,positive,38,query,True,Hadarchaeota,349,
GB_GCA_001515205.2,LQMQ01000048.1_8,positive,39,query,True,Hadarchaeota,97,
GB_GCA_001515205.2,LQMQ01000059.1_1,positive,40,query,True,Hadarchaeota,59,
GB_GCA_001564035.1,LKMX01000003.1_3,positive,41,query,True,Nanohaloarchaeota,215,
GB_GCA_001567115.1,LMZT01000011.1_33,positive,42,query,True,OLB16,244,
GB_GCA_001567115.1,LMZT01000027.1_12,positive,43,query,True,OLB16,97,
GB_GCA_001567115.1,LMZT01000037.1_54,positive,44,query,True,OLB16,319,
GB_GCA_001567115.1,LMZT01000130.1_45,positive,45,query,True,OLB16,216,
GB_GCA_001567115.1,LMZT01000130.1_46,positive,46,query,True,OLB16,157,
GB_GCA_001567115.1,LMZT01000142.1_33,positive,47,query,True,OLB16,227,
GB_GCA_001567115.1,LMZT01000169.1_10,positive,48,query,True,OLB16,372,
GB_GCA_001797335.1,MGPE01000002.1_76,positive,49,query,True,Bdellovibrionota_E,127,
GB_GCA_001797335.1,MGPE01000002.1_107,positive,50,query,True,Bdellovibrionota_E,113,
GB_GCA_001797335.1,MGPE01000003.1_14,positive,51,query,True,Bdellovibrionota_E,870,
GB_GCA_001797335.1,MGPE01000005.1_182,positive,52,query,True,Bdellovibrionota_E,104,
GB_GCA_001797335.1,MGPE01000005.1_240,positive,53,query,True,Bdellovibrionota_E,480,
GB_GCA_001797335.1,MGPE01000005.1_249,positive,54,query,True,Bdellovibrionota_E,378,
GB_GCA_001797335.1,MGPE01000005.1_281,positive,55,query,True,Bdellovibrionota_E,264,
GB_GCA_001797335.1,MGPE01000015.1_63,positive,56,query,True,Bdellovibrionota_E,385,
GB_GCA_001871015.1,MNUO01000065.1_9,positive,57,query,True,Desantisbacteria,144,
GB_GCA_001871015.1,MNUO01000132.1_15,positive,58,query,True,Desantisbacteria,133,
GB_GCA_001871015.1,MNUO01000016.1_5,positive,59,query,True,Desantisbacteria,659,
GB_GCA_001871015.1,MNUO01000064.1_7,positive,60,query,True,Desantisbacteria,83,
GB_GCA_001871015.1,MNUO01000045.1_5,positive,61,query,True,Desantisbacteria,140,
GB_GCA_001871015.1,MNUO01000110.1_6,positive,62,query,True,Desantisbacteria,228,
GB_GCA_001871075.1,MNUP01000052.1_13,positive,63,query,True,Desantisbacteria,342,
GB_GCA_001871075.1,MNUP01000041.1_10,positive,64,query,True,Desantisbacteria,144,
GB_GCA_001871075.1,MNUP01000020.1_2,positive,65,query,True,Desantisbacteria,111,
GB_GCA_001871075.1,MNUP01000146.1_2,positive,66,query,True,Desantisbacteria,82,
GB_GCA_001871075.1,MNUP01000084.1_11,positive,67,query,True,Desantisbacteria,220,
GB_GCA_001871075.1,MNUP01000087.1_20,positive,68,query,True,Desantisbacteria,165,
GB_GCA_001871075.1,MNUP01000059.1_1,positive,69,query,True,Desantisbacteria,435,
GB_GCA_001871075.1,MNUP01000059.1_2,positive,70,query,True,Desantisbacteria,442,
GB_GCA_001871075.1,MNUP01000008.1_4,positive,71,query,True,Desantisbacteria,160,
GB_GCA_001873285.1,MNYV01000029.1_13,positive,72,query,True,CG2-30-53-67,127,
GB_GCA_001873285.1,MNYV01000061.1_1,positive,73,query,True,CG2-30-53-67,159,
GB_GCA_001873285.1,MNYV01000182.1_5,positive,74,query,True,CG2-30-53-67,133,
GB_GCA_001873285.1,MNYV01000135.1_6,positive,75,query,True,CG2-30-53-67,164,
GB_GCA_001873285.1,MNYV01000023.1_28,positive,76,query,True,CG2-30-53-67,146,
GB_GCA_001873285.1,MNYV01000183.1_1,positive,77,query,True,CG2-30-53-67,76,
GB_GCA_001873285.1,MNYV01000060.1_13,positive,78,query,True,CG2-30-53-67,142,
GB_GCA_001873285.1,MNYV01000076.1_1,positive,79,query,True,CG2-30-53-67,213,
GB_GCA_001873295.1,MNYW01000092.1_35,positive,80,query,True,CG2-30-70-394,345,
GB_GCA_001873295.1,MNYW01000165.1_2,positive,81,query,True,CG2-30-70-394,131,
GB_GCA_001873295.1,MNYW01000058.1_17,positive,82,query,True,CG2-30-70-394,363,
GB_GCA_001873295.1,MNYW01000166.1_13,positive,83,query,True,CG2-30-70-394,292,
GB_GCA_001873295.1,MNYW01000166.1_14,positive,84,query,True,CG2-30-70-394,258,
GB_GCA_001873945.1,MNYI01000232.1_3,positive,85,query,True,UBA9089,89,
GB_GCA_001873945.1,MNYI01000130.1_1,positive,86,query,True,UBA9089,152,
GB_GCA_001873945.1,MNYI01000174.1_23,positive,87,query,True,UBA9089,89,
GB_GCA_001873945.1,MNYI01000220.1_4,positive,88,query,True,UBA9089,123,
GB_GCA_001873945.1,MNYI01000047.1_8,positive,89,query,True,UBA9089,159,
GB_GCA_002313925.1,DCAZ01000067.1_12,positive,90,query,True,Gemmatimonadota,138,
GB_GCA_002313925.1,DCAZ01000057.1_5,positive,91,query,True,Gemmatimonadota,217,
GB_GCA_002313925.1,DCAZ01000115.1_16,positive,92,query,True,Gemmatimonadota,143,
GB_GCA_002313925.1,DCAZ01000131.1_6,positive,93,query,True,Gemmatimonadota,299,
GB_GCA_002313925.1,DCAZ01000041.1_25,positive,94,query,True,Gemmatimonadota,371,
GB_GCA_002371675.1,DFGE01000032.1_6,positive,95,query,True,Firmicutes_A,94,
GB_GCA_002371675.1,DFGE01000015.1_28,positive,96,query,True,Firmicutes_A,94,
GB_GCA_002371675.1,DFGE01000015.1_108,positive,97,query,True,Firmicutes_A,321,
GB_GCA_002371675.1,DFGE01000015.1_139,positive,98,query,True,Firmicutes_A,100,
GB_GCA_002371675.1,DFGE01000022.1_79,positive,99,query,True,Firmicutes_A,53,
GB_GCA_002371675.1,DFGE01000037.1_31,positive,100,query,True,Firmicutes_A,94,
GB_GCA_002371675.1,DFGE01000019.1_16,positive,101,query,True,Firmicutes_A,89,
GB_GCA_002371675.1,DFGE01000007.1_5,positive,102,query,True,Firmicutes_A,468,
GB_GCA_002371675.1,DFGE01000010.1_11,positive,103,query,True,Firmicutes_A,363,
GB_GCA_002371675.1,DFGE01000018.1_30,positive,104,query,True,Firmicutes_A,150,
GB_GCA_002387725.1,DGKK01000031.1_38,positive,105,query,True,Nitrospirota_A,229,
GB_GCA_002387725.1,DGKK01000058.1_6,positive,106,query,True,Nitrospirota_A,98,
GB_GCA_002387725.1,DGKK01000006.1_8,positive,107,query,True,Nitrospirota_A,288,
GB_GCA_002387725.1,DGKK01000048.1_3,positive,108,query,True,Nitrospirota_A,321,
GB_GCA_002414385.1,DHZH01000001.1_228,positive,109,query,True,Proteobacteria,215,
GB_GCA_002414385.1,DHZH01000003.1_130,positive,110,query,True,Proteobacteria,81,
GB_GCA_002414385.1,DHZH01000006.1_61,positive,111,query,True,Proteobacteria,68,
GB_GCA_002414385.1,DHZH01000002.1_21,positive,112,query,True,Proteobacteria,96,
GB_GCA_002502135.1,DAPM01000018.1_39,positive,113,query,True,Undinarchaeota,150,
GB_GCA_002502135.1,DAPM01000018.1_76,positive,114,query,True,Undinarchaeota,203,
GB_GCA_002697225.1,NZUQ01000006.1_1,positive,115,query,True,Poribacteria,294,
GB_GCA_002697225.1,NZUQ01000026.1_15,positive,116,query,True,Poribacteria,382,
GB_GCA_002697225.1,NZUQ01000055.1_17,positive,117,query,True,Poribacteria,254,
GB_GCA_002697225.1,NZUQ01000083.1_5,positive,118,query,True,Poribacteria,108,
GB_GCA_002697225.1,NZUQ01000092.1_23,positive,119,query,True,Poribacteria,62,
GB_GCA_002697225.1,NZUQ01000105.1_4,positive,120,query,True,Poribacteria,428,
GB_GCA_002697225.1,NZUQ01000108.1_2,positive,121,query,True,Poribacteria,134,
GB_GCA_002697225.1,NZUQ01000123.1_3,positive,122,query,True,Poribacteria,688,
GB_GCA_002697225.1,NZUQ01000130.1_23,positive,123,query,True,Poribacteria,273,
GB_GCA_002697225.1,NZUQ01000135.1_6,positive,124,query,True,Poribacteria,180,
GB_GCA_002714785.1,PAYP01000004.1_22,positive,125,query,True,Poribacteria,382,
GB_GCA_002714785.1,PAYP01000007.1_25,positive,126,query,True,Poribacteria,142,
GB_GCA_002714785.1,PAYP01000016.1_5,positive,127,query,True,Poribacteria,131,
GB_GCA_002714785.1,PAYP01000020.1_5,positive,128,query,True,Poribacteria,278,
GB_GCA_002714785.1,PAYP01000029.1_95,positive,129,query,True,Poribacteria,387,
GB_GCA_002714785.1,PAYP01000034.1_25,positive,130,query,True,Poribacteria,511,
GB_GCA_002714785.1,PAYP01000060.1_4,positive,131,query,True,Poribacteria,412,
GB_GCA_002714785.1,PAYP01000078.1_11,positive,132,query,True,Poribacteria,359,
GB_GCA_002714785.1,PAYP01000094.1_15,positive,133,query,True,Poribacteria,247,
GB_GCA_002714785.1,PAYP01000105.1_11,positive,134,query,True,Poribacteria,191,
GB_GCA_002789275.1,PFSX01000046.1_31,positive,135,query,True,Huberarchaeota,234,
GB_GCA_002789275.1,PFSX01000043.1_2,positive,136,query,True,Huberarchaeota,442,
GB_GCA_003009815.1,PXPD01000007.1_5,positive,137,query,True,Nanohaloarchaeota,885,
GB_GCA_003009815.1,PXPD01000016.1_3,positive,138,query,True,Nanohaloarchaeota,250,
GB_GCA_003009815.1,PXPD01000029.1_16,positive,139,query,True,Nanohaloarchaeota,206,
GB_GCA_003009815.1,PXPD01000036.1_10,positive,140,query,True,Nanohaloarchaeota,220,
GB_GCA_003009815.1,PXPD01000046.1_1,positive,141,query,True,Nanohaloarchaeota,348,
GB_GCA_003162055.1,PMNA01000009.1_27,positive,142,query,True,Actinobacteriota,161,
GB_GCA_003162055.1,PMNA01000026.1_170,positive,143,query,True,Actinobacteriota,239,
GB_GCA_003162055.1,PMNA01000023.1_23,positive,144,query,True,Actinobacteriota,467,
GB_GCA_003162055.1,PMNA01000022.1_18,positive,145,query,True,Actinobacteriota,199,
GB_GCA_003162055.1,PMNA01000030.1_32,positive,146,query,True,Actinobacteriota,85,
GB_GCA_003162055.1,PMNA01000030.1_95,positive,147,query,True,Actinobacteriota,93,
GB_GCA_003166335.1,PMWA01000025.1_1,positive,148,query,True,Methanobacteriota,188,
GB_GCA_003166335.1,PMWA01000092.1_36,positive,149,query,True,Methanobacteriota,177,
GB_GCA_003663585.1,QMTU01000006.1_15,positive,150,query,True,Thermoplasmatota,137,
GB_GCA_003663585.1,QMTU01000046.1_1,positive,151,query,True,Thermoplasmatota,108,
GB_GCA_004347925.1,QNVD01000010.1_19,positive,152,query,True,Hadarchaeota,186,
GB_GCA_004347925.1,QNVD01000112.1_4,positive,153,query,True,Hadarchaeota,245,
GB_GCA_004347925.1,QNVD01000273.1_3,positive,154,query,True,Hadarchaeota,218,
GB_GCA_004347925.1,QNVD01000274.1_9,positive,155,query,True,Hadarchaeota,199,
GB_GCA_004347925.1,QNVD01000301.1_6,positive,156,query,True,Hadarchaeota,248,
GB_GCA_004347925.1,QNVD01000037.1_6,positive,157,query,True,Hadarchaeota,365,
GB_GCA_004347925.1,QNVD01000064.1_1,positive,158,query,True,Hadarchaeota,330,
GB_GCA_008080745.1,SHMX01000001.1_4,positive,159,query,True,Asgardarchaeota,164,
GB_GCA_008080745.1,SHMX01000001.1_309,positive,160,query,True,Asgardarchaeota,120,
