genome_accession,contig,length,cpbb
RS_GCF_000013405.1,NC_007759.1,172,0.06436905361114638
RS_GCF_000013405.1,NC_007759.1,170,0.0629379818709526
RS_GCF_000013405.1,NC_007759.1,109,0.04451086956521739
RS_GCF_000013405.1,NC_007759.1,369,0.019846782038264264
RS_GCF_000013405.1,NC_007759.1,87,0.037402421783760534
RS_GCF_000013405.1,NC_007759.1,95,0.06640686569157818
RS_GCF_000013405.1,NC_007759.1,655,0.01300376333591499
RS_GCF_000013405.1,NC_007759.1,114,0.062497261510419407
RS_GCF_000013405.1,NC_007759.1,194,0.03963360952686846
RS_GCF_000013405.1,NC_007759.1,202,0.009886427590554013
RS_GCF_000013405.1,NC_007759.1,336,0.02796497316201749
RS_GCF_000013405.1,NC_007759.1,133,0.016795943520081444
RS_GCF_000013405.1,NC_007759.1,194,0.011556675945668482
RS_GCF_000013405.1,NC_007759.1,365,0.03320512567982914
RS_GCF_000013405.1,NC_007759.1,225,0.05601618992923341
RS_GCF_000013405.1,NC_007759.1,494,0.02368076961653864
RS_GCF_000013405.1,NC_007759.1,496,0.005738429682271523
RS_GCF_000013405.1,NC_007759.1,166,0.06370399354617433
RS_GCF_000013405.1,NC_007759.1,465,0.010133396659481828
RS_GCF_000013405.1,NC_007759.1,173,0.007870125087832023
RS_GCF_000013405.1,NC_007759.1,121,0.05423193079443079
RS_GCF_000013405.1,NC_007759.1,158,0.06631601908450847
RS_GCF_000013405.1,NC_007759.1,325,0.017412068945790043
RS_GCF_000013405.1,NC_007759.1,316,0.0490573896135267
RS_GCF_000013405.1,NC_007759.1,159,0.024033125586954668
RS_GCF_000013405.1,NC_007759.1,155,0.028167304073332122
RS_GCF_000013405.1,NC_007759.1,230,0.02124443000197962
RS_GCF_000013405.1,NC_007759.1,163,0.032710897013497484
RS_GCF_000013405.1,NC_007759.1,158,0.01069636120434378
RS_GCF_000013405.1,NC_007759.1,303,0.01455987642899017
RS_GCF_000013405.1,NC_007759.1,259,0.03357289715389163
RS_GCF_000013405.1,NC_007759.1,100,0.01866974298844488
RS_GCF_000013405.1,NC_007759.1,65,0.051428571428571414
RS_GCF_000013405.1,NC_007759.1,255,0.05298421285805338
RS_GCF_000013405.1,NC_007759.1,162,0.039175747778091165
RS_GCF_000013405.1,NC_007759.1,77,0.1163093910919998
RS_GCF_000013405.1,NC_007759.1,68,0.07044534412955467
RS_GCF_000013405.1,NC_007759.1,801,0.006077610874829983
RS_GCF_000013405.1,NC_007759.1,84,0.061483057172712345
RS_GCF_000013405.1,NC_007759.1,277,0.017192228061793286
RS_GCF_000013405.1,NC_007759.1,301,0.006781081545433067
RS_GCF_000013405.1,NC_007759.1,339,0.019083251369842177
RS_GCF_000013405.1,NC_007759.1,87,0.07301587301587302
RS_GCF_000013405.1,NC_007759.1,345,0.006112056528296939
RS_GCF_000013405.1,NC_007759.1,431,0.01338737683107527
RS_GCF_000013405.1,NC_007759.1,561,0.023195997383477152
RS_GCF_000013405.1,NC_007759.1,132,0.0683446370822853
RS_GCF_000013405.1,NC_007759.1,61,0.07698412698412697
RS_GCF_000013405.1,NC_007759.1,257,0.017309328946881548
RS_GCF_000013405.1,NC_007759.1,330,0.023610280081196523
RS_GCF_000013405.1,NC_007759.1,233,0.041308171260751904
RS_GCF_000013405.1,NC_007759.1,346,0.012929851431854484
RS_GCF_000013405.1,NC_007759.1,219,0.025104285741056536
RS_GCF_000013405.1,NC_007759.1,85,0.06574712643678161
RS_GCF_000013405.1,NC_007759.1,345,0.007775093934514223
RS_GCF_000013405.1,NC_007759.1,117,0.06724358974358975
RS_GCF_000013405.1,NC_007759.1,107,0.004703918180544531
RS_GCF_000013405.1,NC_007759.1,296,0.011430662248955345
RS_GCF_000013405.1,NC_007759.1,170,0.02822010869565218
RS_GCF_000013405.1,NC_007759.1,684,0.005662882221650033
RS_GCF_000013405.1,NC_007759.1,75,0.0672706552706553
RS_GCF_000013405.1,NC_007759.1,483,0.021340249253025547
RS_GCF_000013405.1,NC_007759.1,80,0.15185399065489566
RS_GCF_000013405.1,NC_007759.1,507,0.005703224861633083
RS_GCF_000013405.1,NC_007759.1,960,0.011283434342182033
RS_GCF_000013405.1,NC_007759.1,299,0.038240435541145174
RS_GCF_000013405.1,NC_007759.1,113,0.04297104591222239
RS_GCF_000013405.1,NC_007759.1,215,0.014209939370751443
RS_GCF_000013405.1,NC_007759.1,206,0.03172012049586643
RS_GCF_000013405.1,NC_007759.1,444,0.009408304679256681
RS_GCF_000013405.1,NC_007759.1,513,0.004591601387994265
RS_GCF_000013405.1,NC_007759.1,243,0.024381372180114314
RS_GCF_000013405.1,NC_007759.1,79,0.05722779635823114
RS_GCF_000013405.1,NC_007759.1,454,0.007357065457581406
RS_GCF_000013405.1,NC_007759.1,407,0.013732090458264354
RS_GCF_000013405.1,NC_007759.1,159,0.03558720743298265
RS_GCF_000013405.1,NC_007759.1,72,0.023454106280193242
RS_GCF_000013405.1,NC_007759.1,179,0.013998519347107724
RS_GCF_000013405.1,NC_007759.1,233,0.04923489209203496
RS_GCF_000013405.1,NC_007759.1,325,0.026627557890235378
RS_GCF_000013405.1,NC_007759.1,259,0.0175147725958411
RS_GCF_000013405.1,NC_007759.1,115,0.009861291158931813
RS_GCF_000013405.1,NC_007759.1,278,0.040623642978969525
RS_GCF_000013405.1,NC_007759.1,247,0.01823340247348331
RS_GCF_000013405.1,NC_007759.1,103,0.05275163439115519
RS_GCF_000013405.1,NC_007759.1,656,0.006681707359603652
RS_GCF_000013405.1,NC_007759.1,73,0.03353973168214656
RS_GCF_000013405.1,NC_007759.1,76,0.10384615384615388
RS_GCF_000013405.1,NC_007759.1,278,0.0498081188997338
RS_GCF_000013405.1,NC_007759.1,96,0.026430913194357128
RS_GCF_000013405.1,NC_007759.1,202,0.022619047619047622
RS_GCF_000013405.1,NC_007759.1,112,0.015854431506605426
RS_GCF_000013405.1,NC_007759.1,124,0.050079991346131954
RS_GCF_000013405.1,NC_007759.1,188,0.05028142679021765
RS_GCF_000013405.1,NC_007759.1,126,0.006328592042877755
RS_GCF_000013405.1,NC_007759.1,200,0.012586612586612587
RS_GCF_000013405.1,NC_007759.1,231,0.030623922155559865
RS_GCF_000013405.1,NC_007759.1,112,0.04043714043714044
RS_GCF_000013405.1,NC_007759.1,188,0.01409007912355447
RS_GCF_000013405.1,NC_007759.1,69,0.12603519668737062
RS_GCF_000013405.1,NC_007759.1,674,0.009151102658174804
RS_GCF_000013405.1,NC_007759.1,134,0.03939393939393939
RS_GCF_000013405.1,NC_007759.1,117,0.061989909731845205
RS_GCF_000013405.1,NC_007759.1,308,0.010950564094373803
RS_GCF_000013405.1,NC_007759.1,344,0.012261390416339358
RS_GCF_000013405.1,NC_007759.1,90,0.0506551724137931
RS_GCF_000013405.1,NC_007759.1,105,0.08665732959850607
RS_GCF_000013405.1,NC_007759.1,90,0.025157933853586025
RS_GCF_000013405.1,NC_007759.1,681,0.011815909468914927
RS_GCF_000013405.1,NC_007759.1,83,0.07875046763935653
RS_GCF_000013405.1,NC_007759.1,298,0.020777171590742643
RS_GCF_000013405.1,NC_007759.1,282,0.031531223548980296
RS_GCF_000013405.1,NC_007759.1,66,0.0637489445538981
RS_GCF_000013405.1,NC_007759.1,144,0.013956631263616551
RS_GCF_000013405.1,NC_007759.1,182,0.04619023833309548
