pfam_family,n_novel,n_known,auroc
PF03772.19,5,5,1.0
PF02623.18,6,6,1.0
PF04316.16,6,6,0.9722222222222222
PF07136.14,5,5,0.76
PF00677.20,5,5,1.0
PF00079.23,5,5,1.0
PF02308.19,8,8,0.890625
PF14238.9,8,8,0.984375
PF02464.20,7,7,1.0
PF02245.19,7,7,1.0
PF02504.18,8,8,0.453125
PF01795.22,8,8,0.859375
PF19289.2,9,9,0.9506172839506173
PF03968.17,9,9,0.8888888888888888
PF02545.17,9,9,0.9506172839506173
PF01052.23,9,9,0.9753086419753086
PF03349.19,9,9,0.9012345679012346
PF03631.18,11,11,0.859504132231405
PF02621.17,10,10,0.79
PF02261.19,16,16,1.0
PF00215.27,16,16,0.71875
PF00115.23,12,12,0.9097222222222222
PF01351.21,17,17,0.9792387543252595
PF00252.21,14,14,0.7142857142857143
PF04085.17,15,15,1.0
PF00202.24,43,43,0.9794483504597079
PF01196.22,19,19,0.8947368421052632
PF12706.10,5,5,0.48
PF04361.16,5,5,0.8
PF07715.18,6,6,0.75
PF06803.15,6,6,0.8611111111111112
PF01628.24,6,6,1.0
PF13709.9,7,7,0.9183673469387755
PF14385.9,8,8,0.890625
PF04367.16,9,9,0.9382716049382716
PF01936.21,10,10,0.89
PF01455.21,9,9,0.8888888888888888
PF02616.17,13,13,1.0
PF01975.20,13,13,0.9171597633136095
PF01467.29,30,30,0.81
PF04306.16,5,5,1.0
PF07883.14,6,6,1.0
PF07705.14,5,5,0.64
PF02578.18,5,5,1.0
PF01810.21,7,7,1.0
PF03610.19,7,7,0.8775510204081632
PF02823.19,8,8,0.875
PF00430.21,11,11,0.9834710743801653
PF00962.25,9,9,0.691358024691358
PF00698.24,17,17,0.9653979238754326
PF18962.3,25,25,0.6816
PF02492.22,5,5,0.76
PF04519.16,5,5,1.0
PF02631.19,6,6,1.0
PF02699.18,8,8,1.0
PF02482.22,8,8,0.859375
PF02591.18,8,8,0.9375
PF01967.24,8,8,0.84375
PF03091.18,10,10,1.0
PF01206.20,9,9,0.9506172839506173
PF00829.24,10,10,0.98
PF00227.29,14,14,0.8622448979591837
PF05036.16,15,15,0.7155555555555555
PF00825.21,16,16,0.96484375
PF02535.25,12,12,1.0
PF00164.28,15,15,0.8844444444444445
PF01165.23,14,14,0.8673469387755102
PF00809.25,17,17,0.8615916955017301
PF01300.21,17,17,0.9411764705882353
PF02445.19,18,18,0.7716049382716049
PF00731.23,18,18,0.7345679012345679
PF00156.30,54,54,0.8065843621399177
PF04366.15,6,6,1.0
PF05597.14,6,6,0.8888888888888888
PF13358.9,5,5,1.0
PF00145.20,7,7,0.9591836734693877
PF05130.15,7,7,1.0
PF06835.16,7,7,1.0
PF02120.19,11,11,0.9256198347107438
