genome_accession,protein_id,category,emb_row,role,is_positive,phylum,length_aa,pfam_family,distance,pvalue,novelty,baseline_distance
RS_GCF_001428865.1,NZ_LMIV01000001.1_1679,dark_negative,11308,query,False,Proteobacteria,129,,0.29612854457411913,3.2737380935858713e-09,0.9999999967262619,0.29612854457411913
GB_GCA_003598085.1,QZKU01000093.1_10,dark_negative,31228,query,False,Abyssubacteria,288,,0.2821491988889347,5.066525170535543e-09,0.9999999949334748,0.2821491988889347
GB_GCA_011330975.1,DSSU01000419.1_2,dark_negative,33099,query,False,Moduliflexota,307,,0.2666058676890021,8.42913452890584e-09,0.9999999915708655,0.2666058676890021
GB_GCA_018894595.1,JAHIPN010000306.1_1,dark_negative,5394,query,False,Atribacterota,52,,0.24755454479021527,1.6331626652610047e-08,0.9999999836683734,0.24755454479021527
RS_GCF_002368095.1,NZ_AP018227.1_2236,dark_negative,22605,query,False,Cyanobacteria,51,,0.23791851144164786,2.322062277449895e-08,0.9999999767793772,0.23791851144164786
RS_GCF_001545115.1,NZ_FCNU01000032.1_94,dark_negative,22080,query,False,Chlamydiota,209,,0.21656055668532465,5.310064482187318e-08,0.9999999468993552,0.21656055668532465
RS_GCF_014656295.1,NZ_BNCD01000076.1_1,dark_negative,24297,query,False,Actinobacteriota,284,,0.21015469801658684,6.900649969181134e-08,0.9999999309935003,0.21015469801658684
RS_GCF_000318095.2,NZ_KB290717.1_9,dark_negative,15919,query,False,Bacteroidota,166,,0.20778951152930114,7.614962152984958e-08,0.9999999238503785,0.20778951152930114
GB_GCA_014360335.1,JACIXS010000290.1_1,dark_negative,32879,query,False,DUMJ01,90,,0.1996384191715142,1.0774574967253297e-07,0.9999998922542503,0.1996384191715142
GB_GCA_012520995.1,JAAYNI010000034.1_15,dark_negative,7803,query,False,Riflebacteria,130,,0.19711428954080712,1.2026969989030233e-07,0.9999998797303001,0.19711428954080712
GB_GCA_016713535.1,JADJOY010000025.1_29,dark_negative,15515,query,False,JADJOY01,585,,0.1930549479856335,1.4390467073555736e-07,0.9999998560953293,0.1930549479856335
GB_GCA_001798265.1,MGRR01000027.1_6,dark_negative,19355,query,False,Bdellovibrionota_E,92,,0.19159818425142505,1.535964242553744e-07,0.9999998464035758,0.19159818425142505
GB_GCA_002403115.1,DHHE01000200.1_13,dark_negative,15667,query,False,Edwardsbacteria,95,,0.1859635276890605,1.9844256776471526e-07,0.9999998015574323,0.1859635276890605
RS_GCF_900129375.1,NZ_FQVN01000011.1_127,dark_negative,20546,query,False,Actinobacteriota,515,,0.18543374674924212,2.0334941755949256e-07,0.9999997966505825,0.18543374674924212
GB_GCA_018333635.1,JAGXTL010000047.1_1,dark_negative,27162,query,False,Firmicutes_D,121,,0.1797698855605265,2.650330032966826e-07,0.9999997349669967,0.1797698855605265
GB_GCA_009773495.1,WSXW01000012.1_4,dark_negative,22927,query,False,Firmicutes_H,113,,0.17915149831576294,2.7292810622278407e-07,0.9999997270718938,0.17915149831576294
RS_GCF_015234215.1,NZ_JADEKP010000001.1_150,dark_negative,6190,query,False,Firmicutes_A,95,,0.17725175628419004,2.988460410759695e-07,0.999999701153959,0.17725175628419004
GB_GCA_012729785.1,JAAYCL010000021.1_1,dark_negative,13703,query,False,UBA1439,288,,0.17723072731477196,2.9914767718456273e-07,0.9999997008523228,0.17723072731477196
RS_GCF_005217565.1,NZ_SJCO01000339.1_1,dark_negative,6130,query,False,Bacteroidota,127,,0.17660855755842547,3.0822526434217513e-07,0.9999996917747357,0.17660855755842547
GB_GCA_009777175.1,WRMI01000020.1_1,dark_negative,12042,query,False,Bacteroidota,59,,0.1695806905571589,4.347818670929078e-07,0.9999995652181329,0.1695806905571589
GB_GCA_003697085.1,RFFU01000080.1_3,dark_negative,7123,query,False,UBA8481,123,,0.1682873428569238,4.638036219269659e-07,0.999999536196378,0.1682873428569238
GB_GCA_003136635.1,PLFD01000026.1_29,dark_negative,13898,query,False,FCPU426,112,,0.16685980898775948,4.983334001440797e-07,0.9999995016665999,0.16685980898775948
GB_GCA_000496215.1,KI543219.1_61,dark_negative,16292,query,False,Halobacteriota,80,,0.16407455281972896,5.741400047320757e-07,0.9999994258599952,0.16407455281972896
RS_GCF_002224125.1,NZ_NCSM01000005.1_3,dark_negative,32932,query,False,Actinobacteriota,59,,0.16190780125343146,6.419004399476811e-07,0.9999993580995601,0.16190780125343146
RS_GCF_000523515.1,NZ_AWRU01000015.1_125,dark_negative,31018,query,False,Bacteroidota,476,,0.16159686103341575,6.523264143883348e-07,0.9999993476735856,0.16159686103341575
GB_GCA_903904735.1,CAIVDM010000109.1_39,dark_negative,27238,query,False,Bdellovibrionota_C,46,,0.16142747299608676,6.580843379019275e-07,0.9999993419156621,0.16142747299608676
GB_GCA_002364485.1,DEYK01000070.1_19,dark_negative,25725,query,False,Planctomycetota,169,,0.16130300176689646,6.623510535772368e-07,0.9999993376489464,0.16130300176689646
GB_GCA_016933595.1,JAFGAQ010000087.1_5,dark_negative,14956,query,False,Verrucomicrobiota,66,,0.16112789018438298,6.684052539964707e-07,0.999999331594746,0.16112789018438298
RS_GCF_006716785.1,NZ_VFPQ01000001.1_2444,dark_negative,18393,query,False,Actinobacteriota,371,,0.16053685881407379,6.892929221725684e-07,0.9999993107070778,0.16053685881407379
GB_GCA_002050035.1,MVCR01000062.1_4,dark_negative,5675,query,False,4484-113,163,,0.1595293841037082,7.265728180066293e-07,0.999999273427182,0.1595293841037082
GB_GCA_001603805.1,LUZY01000011.1_166,dark_negative,25163,query,False,Deferribacterota,145,,0.15877251875688486,7.560381348036876e-07,0.9999992439618652,0.15877251875688486
RS_GCF_002368095.1,NZ_AP018227.1_390,dark_negative,7383,query,False,Cyanobacteria,64,,0.15725161147969263,8.193039637558161e-07,0.9999991806960362,0.15725161147969263
GB_GCA_011773515.1,WVXK01000099.1_35,dark_negative,19462,query,False,Desulfobacterota_E,115,,0.1566257082029197,8.470125119055978e-07,0.9999991529874881,0.1566257082029197
GB_GCA_016713535.1,JADJOY010000007.1_74,dark_negative,5622,query,False,JADJOY01,293,,0.15656740246626913,8.496457056846774e-07,0.9999991503542943,0.15656740246626913
GB_GCA_016713535.1,JADJOY010000017.1_197,dark_negative,25017,query,False,JADJOY01,356,,0.1553597002764807,9.062636030048646e-07,0.999999093736397,0.1553597002764807
GB_GCA_016931515.1,JAFGEQ010000023.1_85,dark_negative,9865,query,False,CSSED10-310,71,,0.154811313382602,9.333316698565291e-07,0.9999990666683302,0.154811313382602
RS_GCF_000224415.1,NZ_AFXQ01000001.1_34,dark_negative,13133,query,False,Actinobacteriota,248,,0.1535530987194985,9.988594595599888e-07,0.9999990011405404,0.1535530987194985
RS_GCF_001547735.1,NZ_AP013035.1_1069,dark_negative,18792,query,False,Thermosulfidibacterota,222,,0.1522608597014128,1.071467140685254e-06,0.9999989285328593,0.1522608597014128
GB_GCA_017650925.1,JAGCDY010000103.1_24,dark_negative,26089,query,False,UBA3054,124,,0.1522427360072634,1.0725258880844936e-06,0.9999989274741119,0.1522427360072634
GB_GCA_000496215.1,KI543185.1_9,dark_negative,27780,query,False,Halobacteriota,132,,0.152132649689544,1.0789816677364463e-06,0.9999989210183322,0.152132649689544
GB_GCA_003170555.1,PMZC01000356.1_16,dark_negative,22499,query,False,FEN-1099,636,,0.15207794884592848,1.0822053675049376e-06,0.9999989177946325,0.15207794884592848
GB_GCA_910586745.1,CAJUJZ010000123.1_5,dark_negative,5460,query,False,Deferribacterota,132,,0.15106568822168945,1.1438142296642464e-06,0.9999988561857703,0.15106568822168945
GB_GCA_003136635.1,PLFD01000047.1_47,dark_negative,4995,query,False,FCPU426,299,,0.15009791161706035,1.2063394884503141e-06,0.9999987936605116,0.15009791161706035
GB_GCA_003133265.1,PKWQ01000153.1_24,dark_negative,6492,query,False,Proteobacteria,288,,0.1492972000782974,1.2609176870047734e-06,0.999998739082313,0.1492972000782974
GB_GCA_003135055.1,PLDF01000447.1_1,dark_negative,24106,query,False,Acidobacteriota,53,,0.14404003558144746,1.6943867208924552e-06,0.9999983056132791,0.14404003558144746
GB_GCA_001774505.1,MFAF01000117.1_9,dark_negative,18326,query,False,RBG-13-66-14,224,,0.143884122192258,1.709530037633115e-06,0.9999982904699624,0.143884122192258
GB_GCA_016931385.1,JAFGEV010000358.1_5,dark_negative,25245,query,False,Bacteroidota,46,,0.143006401300997,1.7976066702422127e-06,0.9999982023933297,0.143006401300997
GB_GCA_008080745.1,SHMX01000017.1_8,dark_negative,9071,query,False,Asgardarchaeota,925,,0.14270874347816667,1.8285995552833301e-06,0.9999981714004447,0.14270874347816667
GB_GCA_016713535.1,JADJOY010000020.1_98,dark_negative,20496,query,False,JADJOY01,85,,0.14197397784501217,1.9076511145808955e-06,0.9999980923488854,0.14197397784501217
GB_GCA_903904735.1,CAIVDM010000005.1_23,dark_negative,20706,query,False,Bdellovibrionota_C,2536,,0.1418834353640508,1.917649696691347e-06,0.9999980823503033,0.1418834353640508
GB_GCA_016938275.1,JAFGUZ010000059.1_74,dark_negative,20740,query,False,Delongbacteria,108,,0.14090382729693246,2.029591812820863e-06,0.9999979704081872,0.14090382729693246
RS_GCF_001005295.1,NZ_LBMK01000002.1_674,dark_negative,30720,query,False,Actinobacteriota,179,,0.14064511638442995,2.0603416620535775e-06,0.9999979396583379,0.14064511638442995
GB_GCA_003170555.1,PMZC01000394.1_3,dark_negative,33696,query,False,FEN-1099,224,,0.13911737007772576,2.2527070463981643e-06,0.9999977472929537,0.13911737007772576
GB_GCA_016929575.1,JAFGIQ010000260.1_7,dark_negative,32116,query,False,FCPU426,117,,0.13850747660975335,2.3349485515811695e-06,0.9999976650514484,0.13850747660975335
GB_GCA_016719645.1,JADJYS010000002.1_63,dark_negative,5172,query,False,Krumholzibacteriota,536,,0.13839143543364346,2.3509671068976977e-06,0.9999976490328931,0.13839143543364346
GB_GCA_016713535.1,JADJOY010000018.1_34,dark_negative,25315,query,False,JADJOY01,296,,0.13795137832370483,2.4128209250868056e-06,0.9999975871790749,0.13795137832370483
GB_GCA_014584345.1,JACTNB010000035.1_8,dark_negative,28729,query,False,Planctomycetota,238,,0.13734417103634097,2.5011273279224945e-06,0.9999974988726721,0.13734417103634097
RS_GCF_014334015.1,NZ_CP060488.1_1614,dark_negative,12549,query,False,Bacteroidota,72,,0.13618985725139027,2.678967433528057e-06,0.9999973210325664,0.13618985725139027
GB_GCA_905479535.1,CAJQMW010000395.1_5,dark_negative,22869,query,False,Bacteroidota,49,,0.13496332616837523,2.8833089408655e-06,0.9999971166910592,0.13496332616837523
GB_GCA_011773515.1,WVXK01000002.1_48,dark_negative,7478,query,False,Desulfobacterota_E,247,,0.13469654131211733,2.9299896899271293e-06,0.99999707001031,0.13469654131211733
GB_GCA_016713535.1,JADJOY010000025.1_35,dark_negative,13037,query,False,JADJOY01,352,,0.13428259576330553,3.0040738740919497e-06,0.9999969959261259,0.13428259576330553
RS_GCF_000523515.1,NZ_AWRU01000025.1_2,dark_negative,9092,query,False,Bacteroidota,345,,0.1322226833217209,3.4047222474758556e-06,0.9999965952777525,0.1322226833217209
GB_GCA_007741475.1,CP036261.1_5308,dark_negative,27325,query,False,Planctomycetota,136,,0.13192556070212186,3.467213383376433e-06,0.9999965327866166,0.13192556070212186
GB_GCA_003151665.1,PLYD01000028.1_9,dark_negative,28401,query,False,Dormibacterota,156,,0.13164810656294929,3.5267083363351123e-06,0.9999964732916636,0.13164810656294929
RS_GCF_016786325.1,NZ_JADWYU010000138.1_57,dark_negative,29885,query,False,Actinobacteriota,397,,0.13155284633895342,3.5473933533621524e-06,0.9999964526066466,0.13155284633895342
GB_GCA_016713535.1,JADJOY010000010.1_164,dark_negative,16295,query,False,JADJOY01,386,,0.13100827181957161,3.668235315203378e-06,0.9999963317646848,0.13100827181957161
GB_GCA_003697105.1,RFFQ01000005.1_14,dark_negative,12416,query,False,4572-55,45,,0.1308801833665356,3.6973114730798745e-06,0.9999963026885269,0.1308801833665356
RS_GCF_002224125.1,NZ_NCSM01000004.1_172,dark_negative,31851,query,False,Actinobacteriota,587,,0.12990850043521426,3.92632086156184e-06,0.9999960736791385,0.12990850043521426
RS_GCF_014334015.1,NZ_CP060488.1_318,dark_negative,20428,query,False,Bacteroidota,391,,0.12950332467910222,4.026385731778471e-06,0.9999959736142682,0.12950332467910222
GB_GCA_017306015.1,JAFKJK010000030.1_18,dark_negative,21222,query,False,Actinobacteriota,205,,0.12838181699338566,4.3182914108475e-06,0.9999956817085891,0.12838181699338566
