genome_accession,protein_id,category
GB_GCA_000224475.1,CP002988.1_390,positive
GB_GCA_000224475.1,CP002988.1_405,positive
GB_GCA_000224475.1,CP002988.1_491,positive
GB_GCA_000224475.1,CP002988.1_681,positive
GB_GCA_000224475.1,CP002988.1_742,positive
GB_GCA_000224475.1,CP002988.1_830,positive
GB_GCA_000224475.1,CP002988.1_1138,positive
GB_GCA_000224475.1,CP002988.1_1221,positive
GB_GCA_000224475.1,CP002988.1_1369,positive
GB_GCA_000224475.1,CP002988.1_1393,positive
GB_GCA_000224475.1,CP002988.1_2289,positive
GB_GCA_000224475.1,CP002988.1_2662,positive
GB_GCA_000224475.1,CP002988.1_2806,positive
GB_GCA_000224475.1,CP002988.1_2902,positive
GB_GCA_000224475.1,CP002988.1_3010,positive
GB_GCA_000224475.1,CP002989.1_246,positive
GB_GCA_000224475.1,CP002989.1_297,positive
GB_GCA_000224475.1,CP002989.1_300,positive
GB_GCA_000224475.1,CP002989.1_518,positive
GB_GCA_000496215.1,KI543199.1_98,positive
GB_GCA_000496215.1,KI543200.1_1,positive
GB_GCA_000496215.1,KI543203.1_44,positive
GB_GCA_000496215.1,KI543208.1_4,positive
GB_GCA_000496215.1,KI543216.1_179,positive
GB_GCA_000496215.1,KI543219.1_68,positive
GB_GCA_000496215.1,KI543219.1_152,positive
GB_GCA_000814665.1,JWIH01000011.1_96,positive
GB_GCA_000814665.1,JWIH01000012.1_128,positive
GB_GCA_000814665.1,JWIH01000020.1_61,positive
GB_GCA_000814665.1,JWIH01000020.1_419,positive
GB_GCA_000814665.1,JWIH01000021.1_67,positive
GB_GCA_000814665.1,JWIH01000024.1_104,positive
GB_GCA_000814665.1,JWIH01000025.1_277,positive
GB_GCA_000814665.1,JWIH01000025.1_418,positive
GB_GCA_001515205.2,LQMQ01000002.1_36,positive
GB_GCA_001515205.2,LQMQ01000005.1_32,positive
GB_GCA_001515205.2,LQMQ01000007.1_22,positive
GB_GCA_001515205.2,LQMQ01000014.1_16,positive
GB_GCA_001515205.2,LQMQ01000021.1_4,positive
GB_GCA_001515205.2,LQMQ01000048.1_8,positive
GB_GCA_001515205.2,LQMQ01000059.1_1,positive
GB_GCA_001564035.1,LKMX01000003.1_3,positive
GB_GCA_001567115.1,LMZT01000011.1_33,positive
GB_GCA_001567115.1,LMZT01000027.1_12,positive
GB_GCA_001567115.1,LMZT01000037.1_54,positive
GB_GCA_001567115.1,LMZT01000130.1_45,positive
GB_GCA_001567115.1,LMZT01000130.1_46,positive
GB_GCA_001567115.1,LMZT01000142.1_33,positive
GB_GCA_001567115.1,LMZT01000169.1_10,positive
GB_GCA_001797335.1,MGPE01000002.1_76,positive
GB_GCA_001797335.1,MGPE01000002.1_107,positive
GB_GCA_001797335.1,MGPE01000003.1_14,positive
GB_GCA_001797335.1,MGPE01000005.1_182,positive
GB_GCA_001797335.1,MGPE01000005.1_240,positive
GB_GCA_001797335.1,MGPE01000005.1_249,positive
GB_GCA_001797335.1,MGPE01000005.1_281,positive
GB_GCA_001797335.1,MGPE01000015.1_63,positive
GB_GCA_001871015.1,MNUO01000065.1_9,positive
GB_GCA_001871015.1,MNUO01000132.1_15,positive
GB_GCA_001871015.1,MNUO01000016.1_5,positive
GB_GCA_001871015.1,MNUO01000064.1_7,positive
GB_GCA_001871015.1,MNUO01000045.1_5,positive
GB_GCA_001871015.1,MNUO01000110.1_6,positive
GB_GCA_001871075.1,MNUP01000052.1_13,positive
GB_GCA_001871075.1,MNUP01000041.1_10,positive
GB_GCA_001871075.1,MNUP01000020.1_2,positive
GB_GCA_001871075.1,MNUP01000146.1_2,positive
GB_GCA_001871075.1,MNUP01000084.1_11,positive
GB_GCA_001871075.1,MNUP01000087.1_20,positive
GB_GCA_001871075.1,MNUP01000059.1_1,positive
GB_GCA_001871075.1,MNUP01000059.1_2,positive
GB_GCA_001871075.1,MNUP01000008.1_4,positive
GB_GCA_001873285.1,MNYV01000029.1_13,positive
GB_GCA_001873285.1,MNYV01000061.1_1,positive
GB_GCA_001873285.1,MNYV01000182.1_5,positive
GB_GCA_001873285.1,MNYV01000135.1_6,positive
GB_GCA_001873285.1,MNYV01000023.1_28,positive
GB_GCA_001873285.1,MNYV01000183.1_1,positive
GB_GCA_001873285.1,MNYV01000060.1_13,positive
GB_GCA_001873285.1,MNYV01000076.1_1,positive
GB_GCA_001873295.1,MNYW01000092.1_35,positive
GB_GCA_001873295.1,MNYW01000165.1_2,positive
GB_GCA_001873295.1,MNYW01000058.1_17,positive
GB_GCA_001873295.1,MNYW01000166.1_13,positive
GB_GCA_001873295.1,MNYW01000166.1_14,positive
GB_GCA_001873945.1,MNYI01000232.1_3,positive
GB_GCA_001873945.1,MNYI01000130.1_1,positive
GB_GCA_001873945.1,MNYI01000174.1_23,positive
GB_GCA_001873945.1,MNYI01000220.1_4,positive
GB_GCA_001873945.1,MNYI01000047.1_8,positive
GB_GCA_002313925.1,DCAZ01000067.1_12,positive
GB_GCA_002313925.1,DCAZ01000057.1_5,positive
GB_GCA_002313925.1,DCAZ01000115.1_16,positive
GB_GCA_002313925.1,DCAZ01000131.1_6,positive
GB_GCA_002313925.1,DCAZ01000041.1_25,positive
