protein_id,family
JAFGCY010000087.1_6,PF02464.20
JAFGCY010000088.1_20,PF04143.17
JAFGCY010000011.1_83,PF16130.8
JAFGCY010000091.1_31,PF01242.22
JAFGCY010000092.1_10,PF01030.27
JAFGCY010000092.1_22,PF04143.17
JAFGCY010000095.1_88,PF00771.23
JAFGCY010000096.1_22,PF01196.22
JAFGCY010000096.1_29,PF00344.23
JAFGCY010000096.1_41,PF00252.21
JAFGCY010000096.1_75,PF00005.30
JAFGCY010000098.1_23,PF18911.3
JAFGCY010000099.1_10,PF01084.23
JAFGCY010000099.1_37,PF00112.26
JAFGCY010000013.1_3,PF02684.18
JAFGCY010000014.1_9,PF00072.27
JAFGCY010000107.1_8,PF04085.17
JAFGCY010000109.1_25,PF02623.18
JAFGCY010000021.1_37,PF00924.21
JAFGCY010000022.1_9,PF02805.19
JAFGCY010000022.1_10,PF13588.9
JAFGCY010000027.1_20,PF01795.22
JAFGCY010000027.1_42,PF00677.20
JAFGCY010000035.1_27,PF02504.18
JAFGCY010000036.1_30,PF06695.14
JAFGCY010000038.1_2,PF00300.25
JAFGCY010000004.1_89,PF19289.2
JAFGCY010000047.1_10,PF00215.27
JAFGCY010000001.1_11,PF01676.21
JAFGCY010000001.1_28,PF00579.28
JAFGCY010000050.1_2,PF00115.23
JAFGCY010000052.1_23,PF14257.9
JAFGCY010000005.1_4,PF02119.19
JAFGCY010000005.1_34,PF00474.20
JAFGCY010000053.1_12,PF00188.29
JAFGCY010000054.1_11,PF02545.17
JAFGCY010000054.1_18,PF07505.14
JAFGCY010000057.1_9,PF04316.16
JAFGCY010000058.1_4,PF02245.19
JAFGCY010000058.1_6,PF02308.19
JAFGCY010000058.1_15,PF04392.15
JAFGCY010000058.1_45,PF00149.31
JAFGCY010000061.1_23,PF00460.23
JAFGCY010000008.1_20,PF18480.4
JAFGCY010000008.1_32,PF03631.18
JAFGCY010000008.1_33,PF03013.17
JAFGCY010000062.1_28,PF02358.19
JAFGCY010000062.1_33,PF01668.21
JAFGCY010000063.1_47,PF14238.9
JAFGCY010000063.1_54,PF03968.17
JAFGCY010000065.1_6,PF00072.27
JAFGCY010000065.1_7,PF01052.23
JAFGCY010000065.1_40,PF07136.14
JAFGCY010000067.1_3,PF01796.20
JAFGCY010000067.1_25,PF02415.20
JAFGCY010000068.1_14,PF00079.23
JAFGCY010000072.1_8,PF02470.23
JAFGCY010000072.1_17,PF00078.30
JAFGCY010000080.1_6,PF02621.17
JAFGCY010000081.1_10,PF00440.26
JAFGCY010000082.1_24,PF03781.19
JAFGCY010000084.1_24,PF05990.15
JAFGCY010000084.1_26,PF03916.17
JAFGCY010000084.1_67,PF03349.19
MVCR01000068.1_1,PF08459.14
MVCR01000017.1_4,PF09822.12
MVCR01000003.1_21,PF00507.22
MVCR01000020.1_3,PF14088.9
MVCR01000087.1_6,PF12804.10
MVCR01000089.1_2,PF01351.21
MVCR01000022.1_10,PF01250.20
MVCR01000026.1_1,PF03747.17
MVCR01000107.1_6,PF03772.19
MVCR01000032.1_16,PF13860.9
MVCR01000112.1_4,PF00180.23
MVCR01000033.1_12,PF00923.22
MVCR01000114.1_12,PF00202.24
MVCR01000047.1_8,PF02261.19
MVCR01000011.1_20,PF01039.25
MVCR01000053.1_6,PF05239.19
MVCR01000058.1_19,PF02381.21
MVCR01000012.1_8,PF03739.17
MVCR01000062.1_5,PF00528.25
MVCR01000013.1_5,PF02457.19
MVCR01000066.1_7,PF00202.24
NBMB01000014.1_55,PF19540.2
NBMB01000087.1_2,PF00528.25
NBMB01000015.1_76,PF00925.23
NBMB01000017.1_43,PF01628.24
NBMB01000003.1_90,PF00404.21
NBMB01000003.1_163,PF01668.21
NBMB01000003.1_173,PF04367.16
NBMB01000019.1_14,PF01467.29
NBMB01000021.1_74,PF00128.27
NBMB01000098.1_1,PF13546.9
NBMB01000028.1_7,PF05638.15
NBMB01000029.1_32,PF01936.21
NBMB01000031.1_51,PF11536.11
NBMB01000068.1_3,PF13709.9
NBMB01000068.1_5,PF03840.17
NBMB01000033.1_6,PF00180.23
NBMB01000034.1_8,PF00535.29
NBMB01000071.1_5,PF00015.24
NBMB01000036.1_9,PF07715.18
NBMB01000037.1_26,PF01026.24
NBMB01000007.1_8,PF00027.32
NBMB01000078.1_2,PF00156.30
NBMB01000041.1_13,PF06803.15
NBMB01000011.1_10,PF00550.28
NBMB01000012.1_35,PF00905.25
NBMB01000081.1_2,PF20441.1
NBMB01000052.1_10,PF16980.8
NBMB01000056.1_3,PF09820.12
NBMB01000058.1_18,PF14385.9
NBMB01000058.1_23,PF01121.23
NBMB01000058.1_52,PF01019.24
RFFQ01000126.1_5,PF00155.24
RFFQ01000131.1_22,PF00291.28
RFFQ01000131.1_41,PF01584.22
RFFQ01000134.1_30,PF00072.27
RFFQ01000135.1_11,PF12706.10
RFFQ01000138.1_30,PF00072.27
RFFQ01000139.1_4,PF01455.21
RFFQ01000003.1_20,PF03625.17
RFFQ01000003.1_25,PF02424.18
RFFQ01000162.1_4,PF11127.11
RFFQ01000170.1_37,PF08889.14
RFFQ01000020.1_16,PF04361.16
RFFQ01000179.1_9,PF00403.29
RFFQ01000183.1_11,PF01809.21
RFFQ01000183.1_12,PF10531.12
RFFQ01000184.1_17,PF01975.20
RFFQ01000186.1_8,PF01728.22
RFFQ01000025.1_17,PF02617.20
RFFQ01000032.1_3,PF07606.14
RFFQ01000034.1_30,PF12158.11
RFFQ01000036.1_2,PF02616.17
RFFQ01000044.1_13,PF00507.22
RFFQ01000044.1_19,PF00582.29
RFFQ01000046.1_11,PF00300.25
RFFQ01000047.1_24,PF03916.17
RFFQ01000061.1_12,PF02617.20
RFFQ01000067.1_5,PF03009.20
RFFQ01000009.1_38,PF00725.25
RFFQ01000079.1_6,PF02113.18
RFFQ01000090.1_11,PF00581.23
RFFQ01000090.1_22,PF08902.14
RFFQ01000096.1_38,PF00344.23
RFFQ01000102.1_7,PF12019.11
RFFQ01000106.1_6,PF02391.20
RFFQ01000012.1_44,PF02472.19
RFFQ01000114.1_33,PF00903.28
RFFQ01000119.1_6,PF01790.21
RFFQ01000120.1_4,PF11307.11
JAHJDJ010000158.1_4,PF09233.14
JAHJDJ010000162.1_14,PF00730.28
JAHJDJ010000011.1_22,PF00075.27
JAHJDJ010000181.1_2,PF00072.27
JAHJDJ010000185.1_14,PF04402.17
JAHJDJ010000206.1_2,PF18962.3
JAHJDJ010000208.1_1,PF14238.9
JAHJDJ010000224.1_2,PF12705.10
JAHJDJ010000232.1_2,PF00528.25
JAHJDJ010000242.1_4,PF01797.19
JAHJDJ010000259.1_4,PF07705.14
JAHJDJ010000286.1_5,PF18962.3
JAHJDJ010000288.1_4,PF00885.22
JAHJDJ010000295.1_7,PF01252.21
JAHJDJ010000020.1_10,PF13379.9
JAHJDJ010000308.1_2,PF18962.3
JAHJDJ010000314.1_4,PF05099.16
JAHJDJ010000315.1_1,PF01597.22
JAHJDJ010000321.1_15,PF00708.21
JAHJDJ010000321.1_27,PF00072.27
JAHJDJ010000325.1_28,PF00962.25
JAHJDJ010000340.1_8,PF03601.17
JAHJDJ010000346.1_16,PF19672.2
JAHJDJ010000355.1_11,PF00254.31
JAHJDJ010000360.1_12,PF00460.23
JAHJDJ010000375.1_11,PF02357.22
JAHJDJ010000380.1_8,PF04093.15
JAHJDJ010000383.1_1,PF01875.20
JAHJDJ010000005.1_1,PF18962.3
JAHJDJ010000039.1_5,PF00924.21
JAHJDJ010000046.1_7,PF04306.16
JAHJDJ010000064.1_7,PF11141.11
JAHJDJ010000076.1_3,PF00476.23
JAHJDJ010000078.1_12,PF01008.20
JAHJDJ010000080.1_3,PF04361.16
JAHJDJ010000100.1_2,PF08126.14
JAHJDJ010000106.1_12,PF02504.18
JAHJDJ010000112.1_4,PF05635.14
JAHJDJ010000115.1_22,PF01327.24
