protein_id,novelty,pvalue,distance,is_positive,phylum,length_aa
MOCK_004141,0.8818878533367343,0.11811214666326575,0.9425868005372776,0,Bacteroidota,257
MOCK_014696,0.8705457727139567,0.12945422728604328,0.6612753500550622,1,Thermoproteota,606
MOCK_016601,0.8696424233943133,0.1303575766056867,0.9879865810719348,0,Bacteroidota,942
MOCK_018551,0.8686609535260673,0.13133904647393269,1.1364472086586301,0,Actinomycetota,84
MOCK_000425,0.8631804532374096,0.13681954676259045,0.5942822382673854,1,Actinomycetota,99
MOCK_008254,0.8609615753840516,0.1390384246159484,0.9630991045335947,1,Bacillota,445
MOCK_022291,0.8604617998766337,0.13953820012336626,1.1868656198979735,0,Thermoproteota,647
MOCK_021840,0.8559703405691185,0.14402965943088153,0.851876443737158,0,Actinomycetota,823
MOCK_019245,0.8492576831989722,0.1507423168010278,0.08740085411733145,0,Patescibacteria,362
MOCK_016847,0.8448229913334411,0.15517700866655892,1.251896554842251,0,Patescibacteria,829
MOCK_013255,0.8428741770284334,0.15712582297156663,1.9355098281680005,0,Patescibacteria,839
MOCK_020045,0.8394090019705519,0.1605909980294481,0.7465277286001633,0,Pseudomonadota,720
MOCK_015296,0.8375987807571689,0.16240121924283113,1.1781026924325981,0,Patescibacteria,188
MOCK_002104,0.8374747351422608,0.16252526485773922,0.36139312261459283,1,Pseudomonadota,481
MOCK_007499,0.8357835351331466,0.16421646486685337,1.2041968923499908,0,Actinomycetota,214
MOCK_014001,0.8348239106284472,0.16517608937155281,1.0186696345931665,0,Patescibacteria,220
MOCK_019599,0.8325177874867874,0.1674822125132126,0.7847340450752324,0,Patescibacteria,101
MOCK_012288,0.830729179376137,0.169270820623863,1.142905985416555,1,Pseudomonadota,335
MOCK_009320,0.830340156189814,0.16965984381018595,0.4499346555903022,0,Pseudomonadota,520
MOCK_011735,0.8228073960975117,0.17719260390248825,0.3969050215779967,1,Patescibacteria,297
MOCK_006521,0.8218875888609928,0.17811241113900722,0.8658335032518183,0,Bacillota,574
MOCK_004837,0.821430349650641,0.178569650349359,0.921801793812855,0,Patescibacteria,467
MOCK_011177,0.8207709864628243,0.17922901353717569,1.2032776445724158,1,Thermoproteota,582
MOCK_009546,0.8201113082643322,0.1798886917356678,0.7561404996363419,1,Actinomycetota,380
MOCK_008610,0.819715131156435,0.18028486884356498,0.3157561642364676,0,Actinomycetota,724
MOCK_021330,0.8192588871299132,0.18074111287008676,1.266306444343431,1,Bacteroidota,521
MOCK_010337,0.8176221633933051,0.18237783660669493,0.7526114512217867,0,Pseudomonadota,546
MOCK_014415,0.8169813437622818,0.18301865623771818,0.7963741571132046,0,Patescibacteria,103
MOCK_009477,0.8161721543006898,0.1838278456993102,0.6251608056899538,0,Bacteroidota,943
MOCK_012694,0.8161330993841911,0.1838669006158089,0.47396640273651075,0,Actinomycetota,1023
MOCK_006645,0.8132751008459103,0.18672489915408974,0.5506903286163523,1,Pseudomonadota,322
MOCK_021805,0.810543237790152,0.18945676220984797,1.539620005812708,0,Patescibacteria,148
MOCK_006752,0.8102141560396969,0.18978584396030307,0.7558644125321136,0,Bacteroidota,811
MOCK_006773,0.8093390008489222,0.19066099915107781,0.38267455933559513,0,Bacillota,325
MOCK_007123,0.8052432137068367,0.1947567862931633,0.8303723354231471,0,Bacteroidota,519
MOCK_001543,0.8051939089158534,0.1948060910841466,1.1604843372810227,0,Bacillota,563
MOCK_016375,0.8050295041827761,0.19497049581722392,0.561152930818874,0,Actinomycetota,289
MOCK_005178,0.8038642926479906,0.19613570735200936,0.7336237989011474,0,Bacteroidota,378
MOCK_007051,0.8038226007445914,0.19617739925540856,0.7154985066307287,0,Bacteroidota,411
MOCK_004640,0.8031064568215529,0.1968935431784471,0.44324322258426424,1,Pseudomonadota,732
MOCK_023268,0.8029714459088134,0.19702855409118658,0.4375385089539908,0,Bacillota,981
MOCK_011715,0.8028330569666269,0.19716694303337312,0.9678465784129087,0,Bacillota,816
MOCK_003554,0.7995335302478341,0.20046646975216587,0.9702373885739424,0,Actinomycetota,240
MOCK_000778,0.7993615893549637,0.2006384106450363,1.0599807027001662,0,Patescibacteria,537
MOCK_001347,0.7985890588033655,0.2014109411966345,0.7695731207233341,1,Actinomycetota,331
MOCK_003105,0.7983626093137299,0.20163739068627007,0.729507452707925,0,Bacillota,607
MOCK_018112,0.7970676346802276,0.20293236531977243,0.02189901804398864,1,Actinomycetota,439
